field,label,description,source,example
max_footprint_sf,Max Building Footprint Allowed (sq ft),"The largest building footprint (ground-floor area) allowed by zoning rules for this parcel, in square feet. Determined by the zoning district's lot coverage and footprint percentage limits.",Calculated from lot area × zoning district standards,1800
max_gfa_sf,Max Buildable Floor Area (sq ft),"An estimate of the maximum total floor area that could be built on this parcel by-right, in square feet. Calculated as max footprint × 2.5 stories (the typical assumption for 35-ft height limit residential districts). This is an estimate — actual buildable area depends on setbacks and design.",Calculated: max_footprint_sf × 2.5 stories,4500
max_height_ft,Max Height Allowed (ft),"The maximum building height permitted by zoning, in feet.",Arlington County Zoning Ordinance — residential district standards,35
available_gfa_sf,Unused Floor Area Capacity (sq ft),How much additional floor area could be built on this parcel before reaching the zoning maximum — in square feet. Calculated as max buildable GFA minus current building GFA. Negative values mean the existing building exceeds what current zoning would allow (grandfathered / legal nonconforming).,Calculated: max_gfa_sf − current_gfa_sf,2100
gfa_utilization_pct,How Built-Out Is This Parcel? (%),What percentage of the maximum allowed floor area is already built. 0% means vacant; 100% means fully built to the zoning limit; over 100% means the existing building exceeds current zoning (grandfathered).,Calculated: current_gfa_sf ÷ max_gfa_sf × 100,53.3
development_status,Development Status,A simple classification of how developed this parcel is relative to its zoning potential. 'vacant' = no building; 'underdeveloped' = built to less than 80% of zoning limit; 'near-capacity' = built to 80–100% of limit; 'overdeveloped' = existing building exceeds current zoning limit (grandfathered); 'built-no-data' = a building exists (confirmed by year-built record) but floor area cannot be estimated because the assessment API has no record for this parcel — excluded from available-rights and valuation calculations.,"Derived from gfa_utilization_pct, is_vacant, and gfa_source",underdeveloped
gfa_source,Building Size Data Source,How the current building floor area was determined. 'property_api' = reported directly by the county property records (typical for commercial); 'estimated_from_improvement_value' = estimated from the county's assessed building value divided by a $/SF rate (typical for single-family residential); 'building_detected_no_gfa_data' = a building is confirmed by year-built records but floor area cannot be estimated because the assessment API has no data for this parcel (data quality issue); 'not_available' = no building data found.,Derived from Arlington Open Data APIs during analysis,estimated_from_improvement_value
est_value_low,Estimated Development Value — Low ($),"The low end of the estimated market value of this parcel's unused development capacity, in dollars. Uses the conservative discount factor from the land residual method. This is an estimate for policy analysis, NOT a property appraisal.",Calculated using the land residual method,150000
est_value_high,Estimated Development Value — High ($),"The high end of the estimated market value of this parcel's unused development capacity, in dollars. Uses the aggressive discount factor from the land residual method.",Calculated using the land residual method,402500
neighborhood_imp_rate_median,neighborhood_imp_rate_median,,,
neighborhood_imp_rate_low,neighborhood_imp_rate_low,,,
neighborhood_imp_rate_high,neighborhood_imp_rate_high,,,
neighborhood_imp_rate_sample,neighborhood_imp_rate_sample,,,
spot_check_result,Spot Check Result,The outcome of a manual verification of this parcel's classification. Common values: 'confirmed' = analysis matches ground truth; 'incorrect' = analysis is wrong; 'vacant - confirmed buildable' = empty lot verified as developable. Blank if the parcel has not been spot-checked.,Manual verification recorded in spot_checks.csv,confirmed
spot_check_notes,Spot Check Notes,"Free-text notes from the manual verification of this parcel. May include observations about the property, data discrepancies, or recommended follow-up actions.",Manual verification recorded in spot_checks.csv,Large home and outbuilding visible on satellite imagery
spot_check_date,Spot Check Date,The date the manual verification was performed (YYYY-MM-DD).,Manual verification recorded in spot_checks.csv,2026-02-19
